               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10839,            0.054986,                   0,           0.0024074,             0.10317,           0.0016505,          0.00033954,             0.10326,            0.045022,                   0,              0.0775,              0.0025,              0.0025
                   1,            0.092264,            0.060449,                   0,            0.077441,            0.079365,            0.031195,           0.0069595,            0.089863,            0.046354,                   0,            0.051576,           0.0025755,           0.0025755
